StockCode,description,product_revenue,product_rank,revenue_share,cumulative_share
22423,REGENCY CAKESTAND 3 TIER,344563.25000000012,1,0.017073118617646859,0.017073118617646859
85123A,WHITE HANGING HEART T-LIGHT HOLDER,263109.67000000027,2,0.013037091463932747,0.030110210081579606
85099B,JUMBO BAG RED WHITE SPOTTY,183454.82999999996,3,0.0090901919272303074,0.039200402008809913
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,4,0.0083476733640848767,0.047548075372894794
47566,PARTY BUNTING,149187.04999999993,5,0.0073922224754578757,0.054940297848352665
84879,ASSORTED COLOUR BIRD ORNAMENT,132187.91999999995,6,0.0065499151113184943,0.061490212959671157
22086,PAPER CHAIN KIT 50'S CHRISTMAS,123141.54000000004,7,0.0061016667307953057,0.067591879690466469
79321,CHILLI LIGHTS,85489.91,8,0.0042360274174391907,0.071827907107905653
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.920000000027,9,0.0040482828575911008,0.075876189965496763
22197,"POPCORN HOLDER , SMALL",80920.63999999997,10,0.0040096199618963957,0.07988580992739315
22386,JUMBO BAG PINK WITH WHITE SPOTS,77111.909999999974,11,0.0038208972844994589,0.0837067072118926
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,74448.92,12,0.00368894605595838,0.087395653267851
20725,LUNCH BAG RED SPOTTY,72292.85000000002,13,0.0035821127275115724,0.090977765995362558
21137,BLACK RECORD COVER FRAME,69329.47,14,0.0034352771661185257,0.0944130431614811
85099F,JUMBO BAG STRAWBERRY,68488.810000000012,15,0.0033936224397450344,0.097806665601226125
20685,RED SPOTTY COIR DOORMAT,67859.56,16,0.0033624430847495309,0.10116910868597566
48138,DOOR MAT UNION FLAG,67757.63,17,0.003357392450415496,0.10452650113639116
23084,RABBIT NIGHT LIGHT,66964.989999999991,18,0.003318117116377139,0.1078446182527683
21843,RETRO SPOT CAKE STAND,66620.2,19,0.0033010327622906882,0.11114565101505898
22114,HOT WATER BOTTLE TEA AND SYMPATHY,63517.750000000007,20,0.0031473062785309768,0.11429295729358996
82484,WOOD BLACK BOARD ANT WHITE FINISH,62842.02,21,0.0031138238382431554,0.11740678113183312
21931,JUMBO STORAGE BAG SUKI,62285.279999999984,22,0.003086237355763701,0.12049301848759682
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,61721.990000000034,23,0.0030583263206021348,0.12355134480819895
22502,PICNIC BASKET WICKER SMALL,61510.67,24,0.0030478554087266471,0.12659920021692558
22112,CHOCOLATE HOT WATER BOTTLE,60763.12,25,0.0030108142854419618,0.12961001450236756
21621,VINTAGE UNION JACK BUNTING,60668.540000000008,26,0.0030061278438122843,0.13261614234617983
85099C,JUMBO  BAG BAROQUE BLACK WHITE,60292.319999999992,27,0.0029874861323519607,0.1356036284785318
15056N,EDWARDIAN PARASOL NATURAL,58427.59,28,0.0028950887090054937,0.13849871718753728
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,58275.449999999983,29,0.002887550167775432,0.14138626735531273
22470,HEART OF WICKER LARGE,55898.870000000032,30,0.0027697905626976231,0.14415605791801034
22189,CREAM HEART CARD HOLDER,54598.73,31,0.0027053685895488677,0.14686142650755921
20914,SET/5 RED SPOTTY LID GLASS BOWLS,53415.310000000012,32,0.002646730095645367,0.14950815660320457
22178,VICTORIAN GLASS HANGING T-LIGHT,53330.49,33,0.0026425272622870527,0.15215068386549163
22139,RETRO SPOT TEA SET CERAMIC 11 PC,53214.310000000019,34,0.0026367705400568153,0.15478745440554845
21212,PACK OF 72 RETRO SPOT CAKE CASES,52997.200000000041,35,0.0026260127335203465,0.15741346713906879
22111,SCOTTIE DOG HOT WATER BOTTLE,52192.309999999983,36,0.0025861304116413918,0.15999959755071019
21623,VINTAGE UNION JACK MEMOBOARD,52122.729999999989,37,0.0025826827207068078,0.162582280271417
21733,RED HANGING HEART T-LIGHT HOLDER,51556.97,38,0.0025546492969765648,0.16513692956839357
84946,ANTIQUE SILVER TEA GLASS ETCHED,51329.720000000008,39,0.0025433890531581654,0.16768031862155172
22469,HEART OF WICKER SMALL,51127.75999999998,40,0.0025333819295429208,0.17021370055109464
21181,PLEASE ONE PERSON  METAL SIGN,51005.820000000036,41,0.0025273397991525358,0.17274104035024718
21232,STRAWBERRY CERAMIC TRINKET BOX,50760.48,42,0.0025151831953311647,0.17525622354557835
22090,PAPER BUNTING RETRO SPOTS,50753.100000000013,43,0.0025148175161259735,0.17777104106170433
21929,JUMBO BAG PINK VINTAGE PAISLEY,50334.099999999991,44,0.0024940560544762054,0.18026509711618052
48194,DOORMAT HEARTS,49633.289999999994,45,0.0024593308994910667,0.1827244280156716
21731,RED TOADSTOOL LED NIGHT LIGHT,49539.689999999995,46,0.0024546930168886367,0.18517912103256023
22457,NATURAL SLATE HEART CHALKBOARD,48671.050000000032,47,0.0024116518807371983,0.18759077291329743
15056BL,EDWARDIAN PARASOL BLACK,48101.89,48,0.0023834499869124204,0.18997422290020985
21754,HOME BUILDING BLOCK WORD,48079.689999999995,49,0.0023823499762951773,0.19235657287650504
84029E,RED WOOLLY HOTTIE WHITE HEART.,47737.38,50,0.0023653885062776795,0.19472196138278272
48187,DOOR MAT NEW ENGLAND,47265.110000000015,51,0.002341987514646808,0.19706394889742951
21523,FANCY FONT HOME SWEET HOME DOORMAT,47225.459999999992,52,0.0023400228560443888,0.19940397175347391
21928,JUMBO BAG SCANDINAVIAN PAISLEY,47095.72,53,0.0023335942354371321,0.20173756598891104
22355,"CHARLOTTE BAG , SUKI DESIGN",46633.439999999988,54,0.0023106882485840184,0.20404825423749506
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,46546.530000000006,55,0.0023063818556675964,0.20635463609316265
20727,LUNCH BAG  BLACK SKULL.,46422.489999999991,56,0.00230023567021882,0.20865487176338146
48185,DOOR MAT FAIRY CAKE,46104.34,57,0.0022844713288730605,0.21093934309225454
22138,BAKING SET 9 PIECE RETROSPOT,45966.160000000011,58,0.0022776245060311404,0.21321696759828568
22326,"ROUND SNACK BOXES ,SET4, WOODLAND",45046.68,59,0.0022320642464661576,0.21544903184475184
21915,RED  HARMONICA IN BOX,44808.8,60,0.002220277285852204,0.21766930913060403
82494L,WOODEN FRAME ANTIQUE WHITE,44796.900000000031,61,0.002219687640521341,0.21988899677112536
21175,GIN + TONIC DIET METAL SIGN,44391.430000000015,62,0.0021995965907477578,0.22208859336187314
22383,LUNCHBAG SUKI  DESIGN,43932.560000000005,63,0.0021768595694894553,0.22426545293136257
84078A,SET/4 WHITE RETRO STORAGE CUBES,43921.51,64,0.0021763120416822238,0.2264417649730448
23298,SPOTTY BUNTING,43182.830000000009,65,0.0021397104271441581,0.22858147540018897
20728,LUNCH BAG CARS BLUE,42784.740000000005,66,0.0021199850565757671,0.23070146045676473
82482,WOODEN PICTURE FRAME WHITE FINISH,42546.579999999987,67,0.0021081842219540276,0.23280964467871876
23203,JUMBO BAG DOILEY PATTERNS,42067.779999999977,68,0.0020844596686415968,0.23489410434736036
20713,JUMBO BAG OWLS,41390.09,69,0.0020508801102992811,0.23694498445765963
22083,PAPER CHAIN KIT RETRO SPOT,41379.06,70,0.0020503335734926059,0.23899531803115226
22328,"ROUND SNACK BOXES ,SET 4, FRUITS",40508.260000000009,71,0.00200718540928111,0.24100250344043336
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,40308.03,72,0.0019972640072139672,0.24299976744764731
22960,JAM MAKING SET WITH JARS,39694.560000000005,73,0.0019668665516572072,0.24496663399930454
85066,CREAM SWEETHEART MINI CHEST,39428.649999999994,74,0.0019536907037639144,0.24692032470306846
82486,WOOD S/3 CABINET ANT WHITE FINISH,39382.499999999993,75,0.0019514039699807717,0.24887172867304921
22699,ROSES REGENCY TEACUP AND SAUCER,39134.890000000029,76,0.0019391348875962896,0.25081086356064553
20726,LUNCH BAG WOODLAND,38949.729999999996,77,0.0019299602044481475,0.25274082376509366
